자치구,버스정류장수,노선수,승차총승객수,하차총승객수,승차평균승객수,하차평균승객수,이동시간 평균,이동인구 평균,이동시간 합,이동인구 합,유입인구,유출인구,세대,합계 계,합계 남자,합계 여자,한국인 계,한국인 남자,한국인 여자,등록외국인 계,등록외국인 남자,등록외국인 여자,세대당인구,65세이상고령자,택시운송업 종사자수,한식 일반 음식점업 종사자수,용달 화물자동차 운송업 종사자수,부동산 중개 및 대리업 종사자수,두발미용업 종사자수,커피전문점 종사자수,남녀용 겉옷 및 셔츠 도매업 종사자수,기타주점업 종사자수,일반 교과 학원 종사자수,한식 육류요리 전문점 종사자수
강남구,499,91,8030483,7569213,128.76792700917196,121.37151241100636,23.094564552376685,90.22663635868018,11437560,44684651.43,21506979.64,21575290.87,234612,537338,257096,280242,532577,254866,277711,4761,2230,2531,2.27,79575,2517,11486,487,6508,6255,7273,8320,2528,9020,5008
강동구,369,21,2890053,2830506,99.16119402985076,97.11806484817292,25.67008394508402,64.24968662937803,8430800,21101460.33,6993710.01,7032537.23,201926,465097,227891,237206,461300,226203,235097,3797,1688,2109,2.28,75477,4980,3388,1566,1990,1429,1660,1433,1349,2104,1459
강북구,413,67,4825181,4671783,133.02037271875173,128.7915035562662,23.81127435721845,39.12847008653427,7649610,12570412.3,6526754.03,6531790.6,144725,300824,145934,154890,297384,144643,152741,3440,1291,2149,2.05,64961,2589,2663,1030,867,997,1095,94,1275,740,1176
강서구,566,49,4681083,4652828,88.11947968826475,87.58759082865856,25.124068017962564,58.44728195768413,9388010,21839762.06,8452096.73,8207681.45,272572,578426,277797,300629,573046,275422,297624,5380,2375,3005,2.1,93924,6922,4584,1862,2352,1751,2530,700,1709,2347,2274
관악구,466,86,7655819,7792476,154.75367386953974,157.51603970002628,23.37792784749742,49.90403573246489,8772170,18725641.04,9232253.88,9238658.13,279353,500336,250450,249886,486375,244409,241966,13961,6041,7920,1.74,80686,2027,3689,1600,2136,1604,2049,190,1672,1230,1628
광진구,269,41,2749448,2753411,118.35254616675994,118.52313718737894,22.474283212956884,46.76254830691305,8625540,17947278.99,8557970.27,8517906.66,169483,353110,169525,183585,340707,164346,176361,12403,5179,7224,2.01,52604,1744,2861,985,1313,1337,1887,687,1577,1646,1678
구로구,486,79,4942197,4730992,119.23561485198678,114.14007575574804,22.933747752583628,41.73938238256438,7946750,14463071.65,7319283.61,7345712.01,181916,419984,208027,211957,396017,195002,201015,23967,13025,10942,2.18,73864,3817,3215,1351,1213,1134,1384,923,1165,1111,1496
금천구,345,58,3776658,3581930,123.098370273794,116.7513037809648,23.99894377487316,30.597875252268057,6362000,8111343.74,4143689.02,4158467.03,118697,244901,123959,120942,231098,116568,114530,13803,7391,6412,1.95,41819,2598,2619,997,1381,715,1215,2575,685,487,1042
노원구,514,57,4353295,4292724,88.47621080015446,87.24516797756235,24.02951468371579,55.18459000987929,8975240,20611941.03,8357872.4,8378645.73,219065,514445,247417,267028,510486,245663,264823,3959,1754,2205,2.33,89426,6074,2650,1736,1053,1353,1748,123,844,3281,1557
도봉구,359,46,3304305,3211421,106.85935579846064,103.85553974516526,24.48997595068315,37.88228349488733,6995880,10821566.75,5707741.43,5717567.68,138836,318100,154440,163660,316098,153716,162382,2002,724,1278,2.28,65122,5783,2009,1574,794,847,837,43,477,1162,943
동대문구,306,73,5240565,5115379,131.8414299730811,128.692017409243,21.6734512710098,39.94270838135689,8838130,16288077.28,8920579.46,8906104.96,169695,352592,172318,180274,337982,166823,171159,14610,5495,9115,1.99,62963,2093,3566,1456,1208,891,1472,976,1082,984,1509
동작구,438,94,5314274,5112276,124.2959653841656,119.5714185475383,21.867593172911132,40.991814514975545,8408680,15762459.46,8955480.25,8967187.12,186419,394649,190377,204272,386017,186648,199369,8632,3729,4903,2.07,67470,1115,2322,844,1483,1105,1628,199,955,1463,1177
마포구,562,97,5088461,4957596,103.90763921504563,101.2353433664822,22.044200819101217,54.88490629556367,9494790,23639807.3,11981192.72,11959360.83,180702,378629,176886,201743,368331,173073,195258,10298,3813,6485,2.04,55168,1838,4705,829,1903,2042,4475,1209,2559,1855,2928
서대문구,456,107,5863499,5796960,109.91450155588048,108.66719154200878,22.02681605528697,42.416672451746194,8465390,16301660.39,9496982.65,9541047.01,145044,317075,149805,167270,305866,145958,159908,11209,3847,7362,2.11,55012,2677,2694,808,956,1185,1323,68,1127,1268,1088
서초구,600,93,7221330,6977950,126.6877774074139,122.41802775389904,22.83164323602425,64.13862402193614,10291660,28911318.58,15331513.44,15266153.84,169895,413677,197665,216012,409823,195806,214017,3854,1859,1995,2.41,61404,903,6712,411,2758,1832,3897,1563,1255,3812,2338
성동구,435,58,2807280,2746738,96.37736885471024,94.29888766822302,21.74032378799665,42.6855957640428,8887140,17449273.95,9615580.75,9660616.34,134533,291609,141662,149947,285073,138847,146226,6536,2815,3721,2.12,46896,2527,2785,1161,1453,851,1859,1572,621,1494,1545
성북구,602,99,6236424,6231238,123.2519219747426,123.14942983062906,22.16028334147533,45.81627344894969,9072420,18757182.35,9696588.0,9730411.69,197296,442680,212277,230403,433150,208691,224459,9530,3586,5944,2.2,75719,2643,2822,1335,1175,1245,1384,454,1030,1755,1334
송파구,415,55,5641742,5603488,114.27007210564692,113.49526047152231,25.429707440880627,83.49358069162538,10610520,34837613.05,12848643.82,12899678.34,285106,668261,321963,346298,662607,319407,343200,5654,2556,3098,2.32,99854,4850,5760,1931,3190,2328,3372,2830,1469,4160,2781
양천구,319,56,4009172,3851173,97.62752642088346,93.7800857156772,22.79373384274688,46.544142495776335,7379950,15069643.56,7281397.15,7291054.1,181765,449378,219882,229496,446182,218554,227628,3196,1328,1868,2.45,69953,4942,2800,1293,1364,1428,1375,52,851,5804,1111
영등포구,465,101,5739875,5783211,120.33785483668078,121.246404461403,21.615226871267787,56.41463445447347,9581360,25006858.6,13146510.83,13158379.85,188193,400241,198080,202161,376740,185696,191044,23501,12384,11117,2.0,63547,2397,6476,1429,1566,1261,3295,1220,1489,1082,2151
용산구,323,67,4189977,4086474,137.89169354307904,134.48542091752782,21.36478606056348,36.903882501430274,8514380,14707082.87,8570154.99,8471362.06,111207,236518,114571,121947,222169,106735,115434,14349,7836,6513,2.0,39461,523,2987,466,1214,777,2076,317,1332,573,1184
은평구,501,71,5201660,5122499,106.39517283698098,104.776007363469,24.61157830591103,50.26042751371115,8077520,16495472.31,6345342.73,6367736.77,215178,476013,227172,248841,472259,225640,246619,3754,1532,2222,2.19,88418,4430,2585,1349,1614,1443,1296,74,925,1793,1639
종로구,349,106,5468935,5205394,131.8896204119037,125.53402787826172,21.34959861626437,44.23597803912978,9356120,19385709.6,12464302.68,12516745.75,73766,153684,74018,79666,144275,69911,74364,9409,4107,5302,1.96,28064,215,5912,646,889,480,3613,962,1413,382,1982
중구,178,103,3776675,3598932,121.0201236901977,115.32451052648445,21.012461586746777,44.51607228578332,9306020,19715322.61,13052255.11,13073355.46,63767,131450,63869,67581,122173,59448,62725,9277,4421,4856,1.92,24742,235,6414,333,1152,816,3542,24248,982,175,2121
중랑구,380,48,3792541,3740923,87.40386255214214,86.2142610218709,23.412788520234383,41.01275310305779,7939300,13907465.59,6349839.64,6341263.73,187693,393600,193623,199977,389043,191835,197208,4557,1788,2769,2.07,72851,6262,2479,1877,1104,1108,1037,284,1000,1045,1504
