자치구,이동시간 평균,이동인구 평균,이동시간 합,이동인구 합,유입인구,유출인구
강남구,23.094564552376685,90.22663635868018,11437560,44684651.43,21506979.64,21575290.87
강동구,25.67008394508402,64.24968662937803,8430800,21101460.33,6993710.01,7032537.23
강북구,23.81127435721845,39.12847008653427,7649610,12570412.3,6526754.03,6531790.6
강서구,25.124068017962564,58.44728195768413,9388010,21839762.06,8452096.73,8207681.45
관악구,23.37792784749742,49.90403573246489,8772170,18725641.04,9232253.88,9238658.13
광진구,22.474283212956884,46.76254830691305,8625540,17947278.99,8557970.27,8517906.66
구로구,22.933747752583628,41.73938238256438,7946750,14463071.65,7319283.61,7345712.01
금천구,23.998943774873158,30.597875252268057,6362000,8111343.74,4143689.02,4158467.03
노원구,24.02951468371579,55.18459000987929,8975240,20611941.03,8357872.4,8378645.73
도봉구,24.48997595068315,37.88228349488733,6995880,10821566.75,5707741.43,5717567.68
동대문구,21.673451271009796,39.94270838135689,8838130,16288077.28,8920579.46,8906104.96
동작구,21.867593172911135,40.991814514975545,8408680,15762459.46,8955480.25,8967187.12
마포구,22.044200819101217,54.88490629556367,9494790,23639807.3,11981192.72,11959360.83
서대문구,22.02681605528697,42.416672451746194,8465390,16301660.39,9496982.65,9541047.01
서초구,22.831643236024252,64.13862402193614,10291660,28911318.58,15331513.44,15266153.84
성동구,21.740323787996655,42.685595764042795,8887140,17449273.95,9615580.75,9660616.34
성북구,22.16028334147533,45.81627344894969,9072420,18757182.35,9696588.0,9730411.69
송파구,25.429707440880627,83.49358069162538,10610520,34837613.05,12848643.82,12899678.34
양천구,22.793733842746878,46.544142495776335,7379950,15069643.56,7281397.15,7291054.1
영등포구,21.615226871267787,56.41463445447347,9581360,25006858.6,13146510.83,13158379.85
용산구,21.36478606056348,36.903882501430274,8514380,14707082.87,8570154.99,8471362.06
은평구,24.61157830591103,50.26042751371115,8077520,16495472.31,6345342.73,6367736.77
종로구,21.34959861626437,44.23597803912978,9356120,19385709.6,12464302.68,12516745.75
중구,21.012461586746777,44.516072285783316,9306020,19715322.61,13052255.11,13073355.46
중랑구,23.412788520234386,41.01275310305779,7939300,13907465.59,6349839.64,6341263.73
